中国🇨🇳湾湾,#genre#
CCTV3,http://127.0.0.1:35456/itv/1000000005000265003.m3u8?cdn=ystenlive$itv-HEVC
CCTV4,http://127.0.0.1:35456/gaoma/cctv4.m3u8$高码
CCTV4,http://127.0.0.1:35456/itv/5000000011000031102.m3u8?cdn=bestzb$itv-50-FPS
CCTV4,http://127.0.0.1:35456/itv/1000000005000265004.m3u8?cdn=ystenlive$itv-HEVC
CCTV5,http://127.0.0.1:35456/gaoma/cctv5.m3u8$高码
CCTV5,http://127.0.0.1:35456/itv/1000000005000265005.m3u8?cdn=ystenlive$itv-HEVC
CCTV5,http://127.0.0.1:35456/itv/1000000005000025222.m3u8?cdn=ystenlive$itv
CCTV5+,http://127.0.0.1:35456/gaoma/cctv5p.m3u8$高码
CCTV5+,http://127.0.0.1:35456/itv/1000000005000265016.m3u8?cdn=ystenlive$itv-HEVC
CCTV5+,http://127.0.0.1:35456/itv/6000000001000015875.m3u8?cdn=wasusyt$itv
CCTV6,http://127.0.0.1:35456/itv/6000000001000004574.m3u8?cdn=wasusyt$itv-50-FPS
CCTV6,http://127.0.0.1:35456/itv/1000000005000265006.m3u8?cdn=ystenlive$itv-HEVC
CCTV6,http://127.0.0.1:35456/itv/1000000001000001737.m3u8?cdn=ystenlive$itv
CCTV7,http://127.0.0.1:35456/gaoma/cctv7.m3u$高码
CCTV7,http://127.0.0.1:35456/itv/6000000001000009055.m3u8?cdn=wasusyt$itv-50-FPS
CCTV7,http://127.0.0.1:35456/itv/1000000005000265007.m3u8?cdn=ystenlive$itv-HEVC
CCTV7,http://127.0.0.1:35456/itv/1000000001000024341.m3u8?cdn=ystenlive$itv
CCTV8,http://127.0.0.1:35456/gaoma/cctv8.m3u8$高码
CCTV8,http://127.0.0.1:35456/itv/1000000005000265008.m3u8?cdn=ystenlive$itv-HEVC
CCTV8,http://127.0.0.1:35456/itv/6000000001000001070.m3u8?cdn=wasusyt$itv
CCTV9,http://127.0.0.1:35456/gaoma/cctv9.m3u8$高码
